District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,Yield_kg_ha
Kolhapur,Black,75,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,66101.5
Kolhapur,Black,80,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,52791.6
Kolhapur,Black,85,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,70974.2
Kolhapur,Black,90,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,73099.2
Kolhapur,Black,95,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,44023.1
Kolhapur,Black,100,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,50740.2
Kolhapur,Black,75,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,63902.7
Kolhapur,Black,80,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,59657.6
Kolhapur,Black,85,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,62824.2
Kolhapur,Black,90,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,54615.6
Kolhapur,Black,95,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,72199.7
Kolhapur,Black,100,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71380.3
Kolhapur,Black,75,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,62758.2
Kolhapur,Black,80,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,73433.3
Kolhapur,Black,85,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,67099.3
Kolhapur,Black,90,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,54093.1
Kolhapur,Black,95,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,66496.0
Kolhapur,Black,100,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,53403.8
Kolhapur,Black,75,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,72437.1
Kolhapur,Black,80,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,63247.6
Kolhapur,Black,85,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,62059.4
Kolhapur,Black,90,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,57186.5
Kolhapur,Black,95,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,76785.5
Kolhapur,Black,100,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,62903.5
Kolhapur,Black,75,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,58567.7
Kolhapur,Black,80,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,59498.4
Kolhapur,Black,85,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,68545.0
Kolhapur,Black,90,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,67061.2
Kolhapur,Black,95,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,67729.5
Kolhapur,Black,100,55,100,7.0,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,68104.8
Kolhapur,Black,75,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,83227.8
Kolhapur,Black,80,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,58265.2
Kolhapur,Black,85,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,57381.8
Kolhapur,Black,90,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,54545.8
Kolhapur,Black,95,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,68962.1
Kolhapur,Black,100,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,74288.6
Kolhapur,Black,75,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,61909.9
Kolhapur,Black,80,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,54798.0
Kolhapur,Black,85,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,55114.6
Kolhapur,Black,90,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,70170.7
Kolhapur,Black,95,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,71311.4
Kolhapur,Black,100,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,69483.7
Kolhapur,Black,75,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,56012.7
Kolhapur,Black,80,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,65127.3
Kolhapur,Black,85,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,64159.4
Kolhapur,Black,90,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,65366.4
Kolhapur,Black,95,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,72119.5
Kolhapur,Black,100,55,115,7.0,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,65789.3
Kolhapur,Black,75,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,68802.4
Kolhapur,Black,80,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,62953.1
Kolhapur,Black,85,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,65330.0
Kolhapur,Black,90,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,68919.3
Kolhapur,Black,95,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,48282.9
Kolhapur,Black,100,60,100,7.5,1200,20,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,59797.8
Kolhapur,Black,75,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,58821.8
Kolhapur,Black,80,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,57285.5
Kolhapur,Black,85,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,61142.9
Kolhapur,Black,90,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,79340.2
Kolhapur,Black,95,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,55462.0
Kolhapur,Black,100,50,105,6.5,1300,25,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,74400.7
Kolhapur,Black,75,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,46049.1
Kolhapur,Black,80,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,59671.0
Kolhapur,Black,85,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,64836.1
Kolhapur,Black,90,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,69283.3
Kolhapur,Black,95,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,70742.2
Kolhapur,Black,100,55,110,7.0,1400,30,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,71774.3
Kolhapur,Black,75,60,115,7.5,1500,35,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,58667.9
Kolhapur,Black,80,60,115,7.5,1500,35,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,57712.0
Kolhapur,Black,85,60,115,7.5,1500,35,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,70972.1
Kolhapur,Black,90,60,115,7.5,1500,35,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,60737.3
Kolhapur,Black,95,60,115,7.5,1500,35,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,50093.1
Kolhapur,Black,100,60,115,7.5,1500,35,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,51659.2
Kolhapur,Black,20,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,932.8
Kolhapur,Black,25,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1230.2
Kolhapur,Black,30,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1160.0
Kolhapur,Black,35,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1278.3
Kolhapur,Black,40,25,25,6.5,600,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1047.7
Kolhapur,Black,20,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1149.2
Kolhapur,Black,25,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1249.3
Kolhapur,Black,30,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1059.4
Kolhapur,Black,35,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1221.9
Kolhapur,Black,40,30,30,7.0,700,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,992.3
Kolhapur,Black,20,35,35,7.5,800,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1035.2
Kolhapur,Black,25,35,35,7.5,800,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1034.5
Kolhapur,Black,30,35,35,7.5,800,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,870.0
Kolhapur,Black,35,35,35,7.5,800,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1220.3
Kolhapur,Black,40,35,35,7.5,800,25,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1025.8
Kolhapur,Black,20,25,40,6.5,600,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1125.9
Kolhapur,Black,25,25,40,6.5,600,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1226.8
Kolhapur,Black,30,25,40,6.5,600,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1223.5
Kolhapur,Black,35,25,40,6.5,600,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1273.0
Kolhapur,Black,40,25,40,6.5,600,30,Jowar,10:26:26 NPK,https://youtu.be/hxuB66J-3BI,1116.7
Kolhapur,Black,20,30,25,7.0,700,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1029.4
Kolhapur,Black,25,30,25,7.0,700,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1103.5
Kolhapur,Black,30,30,25,7.0,700,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,773.8
Kolhapur,Black,35,30,25,7.0,700,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,826.1
Kolhapur,Black,40,30,25,7.0,700,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,854.6
Kolhapur,Black,20,35,30,7.5,800,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,905.4
Kolhapur,Black,25,35,30,7.5,800,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1195.0
Kolhapur,Black,30,35,30,7.5,800,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,929.8
Kolhapur,Black,35,35,30,7.5,800,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1041.6
Kolhapur,Black,40,35,30,7.5,800,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1392.3
Kolhapur,Black,20,25,35,6.5,600,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1049.5
Kolhapur,Black,25,25,35,6.5,600,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1280.2
Kolhapur,Black,30,25,35,6.5,600,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,935.7
Kolhapur,Black,35,25,35,6.5,600,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1090.9
Kolhapur,Black,40,25,35,6.5,600,25,Jowar,Urea,https://youtu.be/hxuB66J-3BI,938.0
Kolhapur,Black,20,30,40,7.0,700,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1046.7
Kolhapur,Black,25,30,40,7.0,700,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1293.6
Kolhapur,Black,30,30,40,7.0,700,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,765.5
Kolhapur,Black,35,30,40,7.0,700,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1217.2
Kolhapur,Black,40,30,40,7.0,700,30,Jowar,Urea,https://youtu.be/hxuB66J-3BI,1180.0
Kolhapur,Black,20,35,25,7.5,800,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,987.9
Kolhapur,Black,25,35,25,7.5,800,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,816.0
Kolhapur,Black,30,35,25,7.5,800,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1131.1
Kolhapur,Black,35,35,25,7.5,800,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1010.3
Kolhapur,Black,40,35,25,7.5,800,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1171.3
Kolhapur,Black,20,25,30,6.5,600,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1127.9
Kolhapur,Black,25,25,30,6.5,600,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1459.8
Kolhapur,Black,30,25,30,6.5,600,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1080.4
Kolhapur,Black,35,25,30,6.5,600,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,919.8
Kolhapur,Black,40,25,30,6.5,600,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1175.0
Kolhapur,Black,20,30,35,7.0,700,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1161.9
Kolhapur,Black,25,30,35,7.0,700,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1400.9
Kolhapur,Black,30,30,35,7.0,700,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1296.6
Kolhapur,Black,35,30,35,7.0,700,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1201.1
Kolhapur,Black,40,30,35,7.0,700,25,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1435.5
Kolhapur,Black,20,35,40,7.5,800,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,866.2
Kolhapur,Black,25,35,40,7.5,800,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,981.5
Kolhapur,Black,30,35,40,7.5,800,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,925.5
Kolhapur,Black,35,35,40,7.5,800,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,1039.2
Kolhapur,Black,40,35,40,7.5,800,30,Jowar,SSP,https://youtu.be/hxuB66J-3BI,837.9
